SVSPP,COMNAME,SCINAME,FISH,PD,TL
402,BAY SCALLOP,ARGOPECTEN IRRADIANS,N,NA,NA
403,ATLANTIC SURFCLAM,SPISULA SOLIDISSIMA,N,NA,NA
404,ATLANTIC CALICO SCALLOP,ARGOPECTEN GIBBUS,N,NA,NA
405,DUCK-BILL SHELL UNCL,THRACIA ,N,NA,NA
406,ATLANTIC SURFCLAM CLAPPER,SPISULA SOLIDISSIMA CLAPPER,N,NA,NA
407,ARCTIC SURFCLAM,MACTROMERIS POLYNYMA,N,NA,NA
408,ARCTIC SURFCLAM CLAPPER,MACTROMERIS POLYNYMA CLAPPER,N,NA,NA
409,OCEAN QUAHOG,ARCTICA ISLANDICA,N,NA,NA
410,OCEAN QUAHOG CLAPPER,ARCTICA ISLANDICA CLAPPER,N,NA,NA
411,SOUTHERN QUAHOG,MERCENARIA CAMPECHIENSIS,N,NA,NA
412,SOUTHERN QUAHOG CLAPPER,MERCENARIA CAMPECHIENSIS CLAPPER,N,NA,NA
413,NORTHERN QUAHOG,MERCENARIA MERCENARIA,N,NA,NA
415,FALSE QUAHOG,PITAR MORRHUANUS,N,NA,NA
416,RAZOR AND JACKKNIFE CLAM UNCL,SOLENIDAE,N,NA,NA
419,NORTHERN CYCLOCARDIA,CYCLOCARDIA BOREALIS,N,NA,NA
420,SMOOTH ASTARTE,ASTARTE CASTANEA,N,NA,NA
421,PIPEFISH SEAHORSE UNCL,SYNGNATHIDAE,Y,NA,NA
422,BOARFISH UNCL,CAPROIDAE,Y,NA,NA
425,SNAKE EEL UNCL,OPHICHTHIDAE,Y,NA,NA
426,GIZZARD SHAD,DOROSOMA CEPEDIANUM,Y,NA,NA
428,ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM,Y,NA,NA
429,SPANISH SARDINE,SARDINELLA AURITA,Y,NA,NA
430,FLAT ANCHOVY,ANCHOVIELLA PERFASCIATA,Y,NA,NA
433,LARGESCALE LIZARDFISH,SAURIDA BRASILIENSIS,Y,NA,NA
434,SHORTJAW LIZARDFISH,SAURIDA NORMANI,Y,NA,NA
435,INSHORE LIZARDFISH,SYNODUS FOETENS,Y,NA,NA
436,SAND DIVER,SYNODUS INTERMEDIUS,Y,NA,NA
437,OFFSHORE LIZARDFISH,SYNODUS POEYI,Y,NA,NA
438,RED LIZARDFISH,SYNODUS SYNODUS,Y,NA,NA
439,SNAKEFISH,TRACHINOCEPHALUS MYOPS,Y,NA,NA
440,LONGNOSE LANCETFISH,ALEPISAURUS FEROX,Y,NA,NA
444,ATLANTIC MIDSHIPMAN,PORICHTHYS PLECTRODON,Y,NA,NA
445,OCELLATED FROGFISH,ANTENNARIUS OCELLATUS,Y,NA,NA
446,SINGLESPOT FROGFISH,ANTENNARIUS RADIOSUS,Y,NA,NA
449,PANCAKE BATFISH,HALIEUTICHTHYS ACULEATUS,Y,NA,NA
450,SHORTNOSE BATFISH,OGCOCEPHALUS NASUTUS,Y,NA,NA
451,ROUGHBACK BATFISH,OGCOCEPHALUS PARVUS,Y,NA,NA
452,BATFISH UNCL,OGCOCEPHALIDAE,Y,NA,NA
453,ATLANTIC TOMCOD,MICROGADUS TOMCOD,Y,NA,NA
454,CAROLINA HAKE,UROPHYCIS EARLLII ,Y,NA,NA
